iter	Passed	Remaining
0	145	145721
1	146	73230
2	147	49012
3	148	36879
4	148	29603
5	149	24757
6	150	21285
7	150	18689
8	151	16660
9	151	15047
10	152	13730
11	153	12624
12	153	11690
13	154	10887
14	155	10189
15	155	9582
16	156	9052
17	157	8577
18	158	8158
19	158	7777
20	159	7431
21	159	7112
22	160	6820
23	161	6553
24	161	6305
25	162	6079
26	162	5871
27	163	5679
28	164	5497
29	164	5327
30	165	5169
31	165	5021
32	166	4882
33	167	4752
34	167	4629
35	168	4515
36	169	4404
37	169	4298
38	170	4198
39	170	4103
40	171	4012
41	172	3927
42	172	3844
43	173	3766
44	174	3692
45	174	3622
46	175	3554
47	175	3487
48	176	3423
49	176	3362
50	177	3302
51	178	3247
52	178	3195
53	179	3142
54	179	3091
55	180	3043
56	181	2996
57	181	2952
58	182	2909
59	183	2867
60	183	2826
61	184	2788
62	185	2752
63	185	2714
64	186	2680
65	186	2645
66	187	2613
67	187	2576
68	188	2544
69	189	2513
70	189	2484
71	190	2456
72	191	2427
73	191	2400
74	192	2372
75	192	2345
76	193	2319
77	194	2295
78	194	2270
79	195	2247
80	196	2224
81	196	2202
82	197	2181
83	198	2161
84	198	2137
85	199	2117
86	199	2094
87	200	2074
88	200	2056
89	201	2037
90	202	2018
91	202	2000
92	203	1982
93	203	1964
94	204	1947
95	205	1931
96	205	1914
97	206	1898
98	206	1882
99	207	1868
100	208	1853
101	208	1836
102	209	1822
103	209	1808
104	210	1794
105	211	1780
106	211	1766
107	212	1753
108	212	1740
109	213	1727
110	214	1714
111	214	1702
112	215	1689
113	215	1676
114	216	1664
115	216	1652
116	217	1641
117	218	1631
118	218	1620
119	219	1609
120	219	1598
121	220	1587
122	220	1574
123	221	1564
124	222	1554
125	222	1544
126	223	1534
127	223	1524
128	224	1515
129	225	1505
130	225	1496
131	226	1487
132	226	1478
133	227	1470
134	228	1461
135	228	1453
136	229	1445
137	229	1436
138	230	1428
139	231	1420
140	231	1412
141	232	1404
142	233	1396
143	233	1389
144	234	1381
145	234	1374
146	235	1367
147	236	1359
148	236	1352
149	237	1345
150	238	1338
151	238	1332
152	239	1326
153	240	1319
154	240	1313
155	241	1307
156	242	1300
157	242	1293
158	243	1287
159	244	1281
160	244	1275
161	245	1269
162	245	1262
163	246	1257
164	247	1251
165	247	1244
166	248	1238
167	249	1233
168	249	1228
169	250	1222
170	251	1217
171	251	1211
172	252	1206
173	252	1200
174	253	1195
175	254	1190
176	254	1185
177	255	1180
178	256	1174
179	256	1170
180	257	1163
181	257	1158
182	258	1153
183	259	1149
