iter	Passed	Remaining
0	141	141829
1	142	71209
2	143	47653
3	144	35859
4	144	28769
5	145	24045
6	145	20673
7	146	18145
8	146	16174
9	147	14606
10	148	13319
11	148	12249
12	149	11342
13	150	10566
14	150	9888
15	151	9301
16	151	8786
17	152	8329
18	153	7916
19	154	7548
20	154	7212
21	155	6907
22	156	6628
23	156	6382
24	157	6148
25	158	5929
26	158	5725
27	159	5534
28	160	5360
29	160	5194
30	161	5041
31	161	4895
32	162	4762
33	163	4634
34	163	4513
35	164	4399
36	164	4290
37	165	4201
38	166	4104
39	167	4011
40	167	3923
41	168	3840
42	168	3760
43	169	3683
44	170	3610
45	170	3540
46	171	3474
47	172	3412
48	172	3352
49	173	3294
50	174	3239
51	174	3184
52	175	3132
53	175	3080
54	176	3030
55	176	2982
56	177	2937
57	178	2894
58	178	2853
59	179	2815
60	180	2781
61	181	2744
62	182	2711
63	183	2676
64	183	2641
65	184	2608
66	184	2574
67	185	2542
68	186	2512
69	186	2482
70	187	2452
71	188	2423
72	189	2401
73	189	2373
74	190	2347
75	190	2320
76	191	2295
77	192	2270
78	192	2245
79	193	2223
80	194	2203
81	194	2181
82	195	2157
83	195	2135
84	196	2114
85	197	2094
86	197	2074
87	198	2056
88	199	2038
89	199	2019
90	200	2001
91	201	1985
92	201	1967
93	202	1949
94	202	1933
95	203	1916
96	204	1899
97	204	1885
98	205	1870
99	206	1855
100	206	1840
101	207	1826
102	208	1812
103	208	1799
104	209	1786
105	210	1776
106	211	1766
107	212	1754
108	213	1742
109	213	1728
110	214	1716
111	214	1703
112	215	1692
113	216	1681
114	216	1669
115	217	1657
116	217	1644
117	218	1633
118	219	1622
119	219	1611
120	220	1600
121	220	1588
122	221	1579
123	222	1570
124	223	1561
125	223	1552
126	224	1541
127	224	1532
128	225	1522
129	226	1513
130	226	1504
131	227	1495
132	228	1487
133	228	1477
134	229	1469
135	229	1461
136	230	1452
137	231	1443
138	231	1435
139	232	1427
140	233	1420
141	233	1411
142	234	1403
143	234	1395
144	235	1388
145	236	1380
146	236	1373
147	237	1367
148	238	1361
149	238	1354
150	239	1347
151	240	1340
152	240	1333
153	241	1326
154	242	1321
155	243	1314
156	243	1308
157	244	1302
158	244	1295
159	245	1289
160	246	1282
161	246	1275
162	247	1269
163	247	1262
164	248	1256
165	248	1250
166	249	1245
167	250	1240
168	250	1234
169	251	1228
170	252	1222
171	252	1216
172	253	1210
173	253	1205
174	254	1200
175	255	1195
176	255	1190
177	256	1184
178	257	1179
179	257	1174
180	258	1169
181	259	1164
182	259	1159
183	260	1155
184	261	1150
185	261	1145
186	262	1140
187	262	1135
188	263	1130
189	264	1126
190	264	1121
191	265	1117
192	266	1113
193	266	1108
194	267	1104
195	268	1100
196	268	1095
197	269	1090
198	269	1086
199	270	1082
200	271	1078
201	271	1074
202	272	1070
203	273	1067
204	274	1063
205	274	1058
206	275	1054
207	275	1050
208	276	1046
209	277	1043
210	277	1039
211	278	1035
212	279	1031
213	279	1027
214	280	1024
215	281	1021
216	282	1018
217	282	1014
218	283	1011
219	284	1007
220	284	1003
221	285	1000
222	285	996
223	286	992
224	287	989
225	287	986
226	288	983
227	289	979
228	289	976
229	290	973
230	291	969
231	291	966
232	292	963
233	293	960
234	293	956
235	294	953
236	295	950
237	295	946
238	296	943
239	296	940
240	297	937
241	298	934
242	298	931
243	299	928
244	300	924
245	300	921
246	301	918
247	302	915
248	302	912
249	303	909
250	303	907
251	304	904
252	305	900
253	305	898
254	306	894
255	307	892
256	307	889
257	308	887
258	309	884
259	310	882
260	310	879
261	311	876
262	311	874
263	312	871
264	313	868
265	313	865
266	314	863
267	315	860
268	315	857
269	316	855
270	316	852
271	317	850
272	318	847
273	318	844
274	319	842
275	320	839
276	320	837
277	321	835
278	322	832
279	322	830
280	323	828
281	324	825
282	324	823
283	325	820
284	326	818
285	326	815
286	327	813
287	328	811
288	328	808
289	329	806
290	329	803
291	330	801
292	331	799
293	331	796
294	332	794
295	333	792
296	333	790
297	334	787
298	335	785
299	335	783
300	336	780
301	336	778
302	337	776
303	338	774
304	338	772
305	339	769
306	340	767
307	340	765
308	341	763
309	341	760
310	342	758
311	343	756
312	343	754
313	344	752
314	345	750
315	345	748
316	346	746
317	347	744
318	347	742
319	348	740
320	349	738
321	349	736
322	350	734
323	350	732
324	351	730
325	352	728
326	352	726
327	353	724
328	354	722
329	354	720
330	355	718
331	356	716
332	356	714
333	357	712
334	357	710
335	358	708
336	359	706
337	359	704
338	360	702
339	360	700
340	361	698
341	362	696
342	362	695
343	363	693
344	364	691
345	364	689
346	365	687
347	366	686
348	366	684
349	367	682
350	367	680
351	368	678
352	369	676
353	369	674
354	370	673
355	371	671
356	371	669
357	372	667
358	373	666
359	373	664
360	374	662
361	374	660
362	375	658
363	376	657
364	376	655
365	377	653
366	378	652
367	378	650
368	379	648
369	379	646
370	380	645
371	381	643
372	382	642
373	382	640
374	383	639
375	384	637
376	384	635
377	385	634
378	386	632
379	387	631
380	387	629
381	388	628
382	388	626
383	389	624
384	390	623
385	390	621
386	391	620
387	392	619
388	393	617
389	393	615
390	394	614
391	394	612
392	395	610
393	396	609
394	396	607
395	397	605
396	397	604
397	398	602
398	399	601
399	399	599
400	400	598
401	400	596
402	401	594
403	402	593
404	402	591
405	403	590
406	404	588
407	404	587
408	405	586
409	406	585
410	407	584
411	408	582
412	408	581
413	409	579
414	410	578
415	410	576
416	411	574
417	411	573
418	412	571
419	413	570
420	413	568
421	414	567
422	414	565
423	415	564
424	416	562
425	416	561
426	417	559
427	417	558
428	418	556
429	419	555
430	420	554
431	420	553
432	421	551
433	422	550
434	422	549
435	423	548
436	424	546
437	425	545
438	425	543
439	426	542
440	426	541
441	427	539
442	428	538
443	428	536
444	429	535
445	430	534
446	430	532
447	431	531
448	431	530
449	432	528
450	433	527
451	433	525
452	434	524
453	435	523
454	435	521
455	436	520
456	437	519
457	437	517
458	438	516
459	438	515
460	439	513
461	440	512
462	441	511
463	441	510
464	442	508
465	442	507
466	443	506
467	444	504
468	444	503
469	445	502
470	445	500
471	446	499
472	447	498
473	448	497
474	449	496
475	449	494
476	450	493
477	450	492
478	451	491
479	452	489
480	452	488
481	453	487
482	454	486
483	454	484
484	455	483
485	456	482
486	457	481
487	457	480
488	458	479
489	458	477
490	459	476
491	460	475
492	460	473
493	461	472
494	462	471
495	462	470
496	463	468
497	464	467
498	464	466
499	465	465
500	465	464
501	466	462
502	467	461
503	467	460
504	468	459
505	469	458
506	469	456
507	470	455
508	471	454
509	471	453
510	472	451
511	472	450
512	473	449
513	474	448
514	474	447
515	475	445
516	476	444
517	476	443
518	477	442
519	477	440
520	478	439
521	478	438
522	479	437
523	480	436
524	481	435
525	481	433
526	482	432
527	482	431
528	483	430
529	484	429
530	484	428
531	485	426
532	485	425
533	486	424
534	487	423
535	487	422
536	488	421
537	488	419
538	489	418
539	490	417
540	490	416
541	491	415
542	492	414
543	492	413
544	493	412
545	494	410
546	494	409
547	495	408
548	496	407
549	496	406
550	497	405
551	497	404
552	498	402
553	499	401
554	499	400
555	500	399
556	501	398
557	501	397
558	502	396
559	502	395
560	503	394
561	504	392
562	504	391
563	505	390
564	505	389
565	506	388
566	507	387
567	507	386
568	508	385
569	509	384
570	509	383
571	510	381
572	511	380
573	511	379
574	512	378
575	513	377
576	513	376
577	514	375
578	515	374
579	515	373
580	516	372
581	516	371
582	517	370
583	518	369
584	518	368
585	519	367
586	520	366
587	520	364
588	521	363
589	522	362
590	522	361
591	523	360
592	524	359
593	524	358
594	525	357
595	525	356
596	526	355
597	527	354
598	527	353
599	528	352
600	529	351
601	529	350
602	530	349
603	531	348
604	531	347
605	532	346
606	532	345
607	533	343
608	534	343
609	535	342
610	535	341
611	536	340
612	536	338
613	537	337
614	538	336
615	538	335
616	539	334
617	539	333
618	540	332
619	541	331
620	541	330
621	542	329
622	543	328
623	544	327
624	544	326
625	545	325
626	546	324
627	546	323
628	547	322
629	548	321
630	548	320
631	549	319
632	549	318
633	550	317
634	551	316
635	551	315
636	552	314
637	552	313
638	553	312
639	554	311
640	554	310
641	555	309
642	555	308
643	556	307
644	557	306
645	557	305
646	558	304
647	558	303
648	559	302
649	560	301
650	561	300
651	561	299
652	562	298
653	563	297
654	563	296
655	564	295
656	564	294
657	565	293
658	566	292
659	566	291
660	567	291
661	568	290
662	568	289
663	569	288
664	570	287
665	570	286
666	571	285
667	572	284
668	572	283
669	573	282
670	574	281
671	574	280
672	575	279
673	576	278
674	576	277
675	577	276
676	578	275
677	578	274
678	579	273
679	579	272
680	580	271
681	581	270
682	581	270
683	582	269
684	582	268
685	583	267
686	584	266
687	585	265
688	585	264
689	586	263
690	587	262
691	588	261
692	588	260
693	589	259
694	590	259
695	590	258
696	591	257
697	592	256
698	593	255
699	593	254
700	594	253
701	595	252
702	595	251
703	596	250
704	597	249
705	597	248
706	598	247
707	598	247
708	599	246
709	600	245
710	600	244
711	601	243
712	602	242
713	602	241
714	603	240
715	604	239
716	604	238
717	605	237
718	606	236
719	606	236
720	607	235
721	608	234
722	608	233
723	609	232
724	610	231
725	610	230
726	611	229
727	612	228
728	612	227
729	613	226
730	614	226
731	614	225
732	615	224
733	616	223
734	617	222
735	617	221
736	618	220
737	619	219
738	619	218
739	620	217
740	621	217
741	621	216
742	622	215
743	623	214
744	623	213
745	624	212
746	625	211
747	625	210
748	626	209
749	627	209
750	627	208
751	628	207
752	628	206
753	629	205
754	630	204
755	630	203
756	631	202
757	632	201
758	632	200
759	633	200
760	634	199
761	634	198
762	635	197
763	636	196
764	636	195
765	637	194
766	638	193
767	638	193
768	639	192
769	640	191
770	640	190
771	641	189
772	641	188
773	642	187
774	643	186
775	643	185
776	644	185
777	645	184
778	646	183
779	647	182
780	647	181
781	648	180
782	649	179
783	650	179
784	650	178
785	651	177
786	651	176
787	652	175
788	653	174
789	653	173
790	654	172
791	655	172
792	655	171
793	656	170
794	656	169
795	657	168
796	658	167
797	658	166
798	659	165
799	660	165
800	660	164
801	661	163
802	662	162
803	662	161
804	663	160
805	663	159
806	664	158
807	665	158
808	665	157
809	666	156
810	667	155
811	667	154
812	668	153
813	669	152
814	669	152
815	670	151
816	671	150
817	671	149
818	672	148
819	673	147
820	673	146
821	674	146
822	675	145
823	675	144
824	676	143
825	677	142
826	677	141
827	678	140
828	679	140
829	679	139
830	680	138
831	681	137
832	681	136
833	682	135
834	683	135
835	683	134
836	684	133
837	685	132
838	685	131
839	686	130
840	686	129
841	687	129
842	688	128
843	689	127
844	689	126
845	690	125
846	691	124
847	691	123
848	692	123
849	692	122
850	693	121
851	694	120
852	694	119
853	695	118
854	696	118
855	696	117
856	697	116
857	697	115
858	698	114
859	699	113
860	699	113
861	700	112
862	701	111
863	701	110
864	702	109
865	703	108
866	703	107
867	704	107
868	705	106
869	705	105
870	706	104
871	707	103
872	707	102
873	708	102
874	708	101
875	709	100
876	710	99
877	711	98
878	711	97
879	712	97
880	712	96
881	713	95
882	714	94
883	714	93
884	715	92
885	716	92
886	716	91
887	717	90
888	717	89
889	718	88
890	719	88
891	719	87
892	720	86
893	721	85
894	721	84
895	722	83
896	723	83
897	723	82
898	724	81
899	725	80
900	725	79
901	726	78
902	727	78
903	727	77
904	728	76
905	729	75
906	729	74
907	730	73
908	730	73
909	731	72
910	732	71
911	732	70
912	733	69
913	734	69
914	734	68
915	735	67
916	735	66
917	736	65
918	737	64
919	737	64
920	738	63
921	739	62
922	739	61
923	740	60
924	741	60
925	741	59
926	742	58
927	743	57
928	744	56
929	745	56
930	745	55
931	746	54
932	747	53
933	747	52
934	748	52
935	749	51
936	749	50
937	750	49
938	751	48
939	751	47
940	752	47
941	753	46
942	754	45
943	755	44
944	755	43
945	756	43
946	757	42
947	757	41
948	758	40
949	759	39
950	760	39
951	760	38
952	761	37
953	762	36
954	762	35
955	763	35
956	764	34
957	764	33
958	765	32
959	765	31
960	766	31
961	767	30
962	768	29
963	768	28
964	769	27
965	769	27
966	770	26
967	771	25
968	771	24
969	772	23
970	773	23
971	773	22
972	774	21
